"Country_Wave","A001","A002","A003","A004","A005","A006","D057","D059","D060","F115","F116","F117","F118","F119","F120","F121","F122","F123","E114","E115","E116","E117","E012","E015","E016","E018","E023","E025","E026","E027","E028","E033","E035","E036","E037","E039","E040","B008"
"AUS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36468646864686,3.07302904564315,1.67493796526055,3.768968456948,3.87899159663866,4.27899159663866,5.04769874476987,5.21129170230967,3.08184143222506,NA,NA,NA,NA,0.75,2.2140522875817,1.55610155610156,1.39048400328138,NA,1.35590421139554,2.51172529313233,2.41908713692946,2.67752715121136,5.76771300448431,NA,NA,NA,NA,NA,NA
"AUS3",1.12060546875,1.41519607843137,1.6656819300837,2.48966535433071,1.66337611056269,2.48352188883424,2.20020586721565,2.89621676891616,3.1316180108857,2.07756504663721,2.15743011280039,1.26934378060725,4.59615384615385,4.15884115884116,4.82185628742515,5.91274169558751,6.20410205102551,3.07193158953722,3.11929824561404,2.71846619576186,3.67940446650124,1.64855256475368,0.746149761019649,2.1158357771261,1.56393924546791,1.36550710436061,2.43646138807429,1.26617647058824,2.14207650273224,2.21732673267327,2.51870324189526,5.34692737430168,5.59506172839506,3.81011403073872,5.0384236453202,3.18836291913215,4.04621435594887,1.41990904497221
"AUS5",1.07355021216407,1.46186742694227,1.61466570812365,2.48922413793103,1.8685376661743,2.70714285714286,2.07548526240115,2.90629470672389,3.30620985010707,2.32927702219041,2.03156384505022,1.48169418521177,5.83055756698045,4.68283852280956,5.74675324675325,6.73589001447178,6.58506819813352,3.27469358327325,3.20839363241679,2.69426289034132,3.60709117221418,1.53862815884477,0.627855563743552,1.8859649122807,1.62144420131291,1.47322720694645,2.36950354609929,1.24539007092199,2.17447728911319,2.10007147962831,NA,5.51854599406528,5.6685837526959,4.87688984881209,5.18872017353579,3.76767676767677,4.31146359048306,1.32654545454545
"AUS6",1.07692307692308,1.47545582047686,1.67065446868403,2.48256227758007,1.96590909090909,2.82464788732394,2.17328767123288,2.99930410577592,3.41353383458647,2.07912687585266,1.76807639836289,1.42019099590723,6.77869986168741,4.77107607950651,5.76986301369863,7.10302197802198,NA,3.47111416781293,3.19958129797627,2.64220824598183,3.63814866760168,1.45644599303136,0.63869625520111,1.83449720670391,1.61781206171108,1.43393602225313,2.37457279562543,1.29074585635359,2.16631578947368,2.06293706293706,2.22979620520028,5.33192686357243,4.73255010366275,4.73130193905817,5.25069060773481,3.2543192812716,3.66161268090972,1.39408528198074
"AUS7",1.11037160288408,1.47961494903737,1.64635535307517,2.41183228029868,1.99539170506912,2.89772727272727,2.19405496354459,3.35123042505593,3.64253897550111,2.20570150922303,1.84868788386376,1.43502509760178,7.38772029562251,5.17337110481586,6.56232374506486,7.73827020915772,6.68877551020408,4.0384397964952,3.16399082568807,2.54399079930995,3.64891179839633,1.42971887550201,0.553846153846154,1.83817663817664,1.60227272727273,1.53160270880361,2.34905660377358,1.21857619577308,2.07885906040268,2.01675041876047,2.19340413638904,5.28987194412107,6.00447177193963,5.07899159663866,5.66219988833054,3.57868303571429,4.24176437744277,1.32673827020916
"AZE3",1.16624811652436,1.73336668334167,1.89156626506024,2.74094567404427,1.56636271529889,1.903242147923,2.13652944241793,2.00582627118644,2.67340590979782,3.04434829637642,3.61827956989247,2.86356340288925,1.40605095541401,1.58097686375321,4.37148913619502,4.25495307612096,3.43079584775086,1.87453874538745,3.18350383631714,3.49206349206349,3.57192374350087,1.63496751329002,0.971337579617834,2.18627968337731,1.23399897593446,1.40260416666667,2.73404798366514,2.6395101171459,2.82477501323452,2.36935991605456,2.70942408376963,5.54349442379182,5.89722222222222,5.5683603981142,7.40662183135023,3.51085776330076,4.35598536330371,1.56002265005663
"AZE6",1.0748502994012,1.79141716566866,2.124750499002,2.92614770459082,1.49600798403194,2.03992015968064,2.01506024096386,2.1001001001001,2.75848303393214,1.42215568862275,1.51197604790419,1.31636726546906,1.19161676646707,1.28043912175649,2.9251497005988,3.19960079840319,2.27544910179641,1.39520958083832,2.92260061919505,2.31063829787234,3.29811715481172,1.84895833333333,0.668460710441335,2.45371312309257,1.34778225806452,1.34210526315789,2.92614770459082,2.85728542914172,2.9500998003992,2.88423153692615,2.93712574850299,5.90909090909091,5.88822355289421,5.136,5.85528942115768,4.28243512974052,6.46506986027944,1.67101303911735
"BFA5",1.05813193990856,1.54587155963303,2.35430916552668,2.53942777390091,1.11184645929848,1.19853917662683,2.65176151761518,2.19745222929936,2.67717614804661,2.44214285714286,2.52302158273381,2.69336219336219,1.75949367088608,2.31143052703628,2.44429160935351,3.51869806094183,2.54787616990641,2.31027253668763,2.64395782643958,2.13610888710969,2.85145482388974,1.31409788166545,0.853252647503782,2.7013986013986,1.52141802067947,1.43049645390071,2.38930264048747,2.07901444350042,2.27257799671593,2.04971932638332,NA,4.65808170515098,7.07386363636364,5.05504587155963,6.59298245614035,3.4101083032491,4.99306999306999,1.50244299674267
"BGD3",1.06369008535785,2.13034891375905,2.3478835978836,2.49832999331997,1.17554240631164,1.19513797634691,2.97054597701149,2.30173661360347,2.5356890459364,1.13241106719368,1.093599449415,1.04376657824934,NA,NA,NA,1.79653102068045,1.173971679029,1.04152933421226,3.68608414239482,1.96997270245678,3.62211614956245,1.27221833449965,0.886346863468635,2.8983606557377,1.09508196721311,1.13180327868852,2.53602115003305,2.10252237591538,2.3129357087529,2.16678858814923,2.39204988308652,7.03738317757009,7.10650069156293,4.56955017301038,6.24529569892473,2.01742627345845,2.36666666666667,1.58275596612779
"BGD4",1.03333333333333,1.88464118041583,2.09485094850949,2.41476880607315,1.08914209115281,1.13855421686747,2.87861271676301,2.15582655826558,2.19298245614035,1.15954606141522,1.05886287625418,1.0307486631016,1.05078929306795,1.15863453815261,1.3021534320323,1.54709418837675,1.08489304812834,1.01603206412826,3.47345767575323,2.13987022350397,3.25092250922509,1.33610533610534,0.958146487294469,2.78255033557047,1.13020134228188,1.09792085848424,2.64156206415621,2.290036900369,2.47749809305873,2.45307692307692,2.69154607768469,7.56065857885615,7.56028368794326,5.30731014904187,5.56404812455768,2.87062187276626,NA,1.45969498910675
"BGD7",1.015,2.0685618729097,2.19175777964676,3.07632933104631,1.22259414225941,1.06766917293233,2.25236864771749,2.21354166666667,2.57352941176471,1.80083333333333,1.70083333333333,1.6075,1.6875,1.6,2.02166666666667,2.17,2.7775,1.9,3.26156751652502,2.48148148148148,2.8693234476367,1.61454545454545,0.953982300884956,2.80520570948783,1.17217391304348,1.25378450578807,2.96771452846219,2.46325581395349,2.77151335311573,2.39906542056075,2.67843511450382,7.17166666666667,3.96166666666667,4.98083333333333,6.73583333333333,3.43666666666667,3.34833333333333,1.52343059239611
"BGR3",1.1296992481203,1.72675521821632,2.232421875,2.99422521655438,1.64728682170543,2.6748046875,1.98572884811417,2.19601328903654,3.02569593147752,2.35904761904762,2.08854667949952,1.98140900195695,3.34356552538371,2.53656024716787,5.72964509394572,5.732,4.01511335012594,2.19222903885481,2.23272727272727,2.20917678812416,3.2562874251497,1.80880648899189,0.744010088272383,2.41791044776119,1.37966417910448,1.46828358208955,2.69619047619048,2.43120393120393,2.71822541966427,2.37348066298343,2.57844311377246,5.79598662207358,5.39609756097561,5.23541453428864,6.5870236869207,3.69653767820774,4.59117647058823,1.63743455497382
"BGR5",1.12124248496994,1.72239108409321,2.08069458631256,3.06625891946993,1.75544041450777,2.47682801235839,2.22303664921466,2.51883745963402,3.24346917450366,2.35276073619632,2.39814814814815,1.88739669421488,4.11599099099099,2.98195329087049,5.656283566058,6.39371727748691,5.63659466327827,2.50618672665917,2.08557457212714,2.03041825095057,3.23218673218673,1.83952095808383,0.594637223974763,2.40363636363636,1.24615384615385,1.6135831381733,2.7324973876698,2.48009367681499,2.78205128205128,2.41069397042093,NA,4.75,5.67375886524823,5.7889237199582,6.97764227642276,3.51303441084463,4.75152129817444,1.56568047337278
"BIH3",1.03255425709516,1.31825795644891,1.67144060657119,2.59475465313029,1.23494983277592,1.98486122792262,1.60891505466779,2.31287813310285,3.06558773424191,2.21655518394649,2.08473154362416,1.57142857142857,1.94425087108014,2.09674657534247,4.09454855195911,5.01625320786997,3.04681978798587,1.75149957155099,2.48251121076233,1.99292661361627,3.16608084358524,1.47291487532244,0.820736434108527,2.42224080267559,1.31438127090301,1.61952861952862,2.57107023411371,2.03365810451727,2.30369718309859,2.2353982300885,2.41339285714286,5.13898916967509,5.49581939799331,4.59343434343434,7.13422818791946,2.92935239697225,3.95973154362416,1.64912280701754
"BIH4",1.01251042535446,1.31693077564637,1.70066889632107,2.82077051926298,1.43096234309623,2.05391743892165,2.1150895140665,2.76575809199319,3.12393887945671,1.84390651085142,1.75605680868839,1.37290969899666,1.97983193277311,1.69481605351171,3.80520570948783,5.43776106934002,3.71805792163543,1.55508830950378,2.77400581959263,2.01387604070305,3.47276084949215,1.64456721915285,0.743407707910751,2.4175,1.34833333333333,1.87,2.77443609022556,2.06554472984942,2.41097122302158,2.33096085409253,2.62043795620438,5.08579599618684,6.10301507537688,4.63299663299663,6.47647058823529,3.05289672544081,NA,1.68233246301131
"BLR2",1.27054108216433,1.841046277666,1.90564102564103,2.61648016276704,1.62701612903226,2.82924226254002,1.85151515151515,NA,NA,3.07876370887338,3.34362139917695,2.02908726178536,1.93092783505155,2.35627530364372,4.64640324214792,5.02532928064843,4.51902748414376,2.77846790890269,NA,NA,NA,NA,0.919908466819222,2.27155599603568,1.19184890656064,1.39021956087824,NA,1.94378698224852,2.53162055335968,2.09207920792079,2.66600985221675,3.80062630480167,7.34787018255578,5.9161554192229,5.99192734611504,3.49845837615622,4.37171717171717,NA
"BLR3",1.17975903614458,1.87918486171761,1.98265609514371,2.71344455348381,1.69941060903733,2.3943661971831,2.19485108531045,2.02018633540373,2.58979591836735,4.10450718177315,3.40279937791602,2.04440059200789,2.16639027086788,2.46956087824351,4.64889800102512,5.24636226793778,6.24240780911063,2.1835187057634,2.40599455040872,2.42926829268293,3.29741616272677,2.00579374275782,0.877979568671964,2.46914225941423,1.2058087130696,1.3749349973999,2.43044747081712,2.52610441767068,2.7419028340081,2.29016312407316,2.82503770739065,5.26409017713366,6.62569832402235,6.14120603015075,7.20725134737874,3.71451104100946,4.46307385229541,1.49189491335942
"BLR6",1.13015042511445,1.72536136662286,1.88822751322751,2.81782178217822,1.83563445101907,2.53100263852243,1.73149967256058,2.14783180026281,3.05584756898817,3.77690802348337,2.77879581151832,2.34160679294579,2.43581303489138,2.97707924034054,3.84031413612565,5.33398692810457,NA,1.66993464052288,2.52434210526316,2.35662491760053,3.41846758349705,1.8467583497053,0.780529461998292,2.31606557377049,1.35081967213115,1.57659434582512,2.71316306483301,NA,NA,NA,NA,5.41232227488152,4.8843137254902,5.00130718954248,7.09268929503916,3.98432397126061,4.49477806788512,1.45850066934404
"BOL7",1.20232333010649,2.36699029126214,1.78852698104035,2.78023598820059,1.25205611998065,1.59641472868217,2.0256157635468,2.86254980079681,2.87996080352768,3.96216216216216,2.03774509803922,2.04576771653543,3.30159574468085,2.79938900203666,2.27062868369352,3.98416625432954,3.19769557307459,2.15697963238947,2.20527704485488,2.04318418314256,3.27142124166239,1.62710137544575,0.838902743142145,2.36651807825656,1.42401594419532,1.13170731707317,3.04219204655674,2.36554832248373,2.82041884816754,2.20078546882671,2.39765510503175,5.36398891966759,6.42651439920556,6.48898001025115,5.26209279368213,5.0549558390579,4.3809758501725,1.28123444499751
"BRA2",1.10567734682406,1.53232152894885,1.60416666666667,2.73424190800681,1.20650953984287,1.63048368953881,2.19607843137255,NA,NA,2.8809926677947,2.79954571266326,1.39579784213515,2.41326530612245,2.02871621621622,2.45469893078222,4.8656462585034,2.72514285714286,1.3970753655793,NA,NA,NA,NA,0.352769679300292,2.5593029792018,1.31221719457014,1.26025857223159,2.75084554678692,1.68555240793201,2.43066120538327,2.22709163346614,2.65968289920725,5.45296864576384,5.85953757225434,5.08156028368794,5.28057142857143,3.53602811950791,6.64682312535776,NA
"BRA3",1.08056042031524,1.56529360210342,1.57180385288967,2.5237668161435,1.16900175131349,1.48729184925504,2.21511111111111,2.57564905998209,3.25462555066079,3.09938434476693,3.57862190812721,4.00965759438104,3.17125110913931,2.32744924977935,2.02640845070423,4.89973614775726,3.00088573959256,1.4625550660793,2.36688014638609,1.93290441176471,2.69660861594867,1.93333333333333,0.71841155234657,2.49604916593503,1.4608619173263,1.2182296231376,2.87434094903339,1.71327433628319,2.58242753623188,2.12214411247803,2.7215859030837,5.9019019019019,5.71883289124668,5.21336996336996,5.45623342175066,3.43274336283186,6.82658450704225,1.55535390199637
"BRA5",1.14266666666667,1.76588628762542,1.90154052243804,2.48352387357095,1.35938543754175,1.5954606141522,2.45955132562882,2.78787878787879,3.14658634538153,3.96153846153846,3.64642375168691,1.85433604336043,4.27612456747405,3.10251188051595,2.41621621621622,5.62703804347826,3.44308111792774,1.79582210242588,2.2748457847841,2.04979253112033,2.83866481223922,1.81994459833795,0.611071682044003,2.28734092431346,1.38169491525424,1.26139410187668,2.64518317503392,1.6144578313253,2.58997252747253,2.23687752355316,NA,5.43138686131387,5.6751677852349,5.41412084181942,6.69489247311828,4.19225543478261,4.72169811320755,1.41480446927374
"BRA6",1.13400673400673,1.85569790964262,1.81351351351351,2.75186440677966,1.39312204989885,1.59568733153639,2.56440443213296,2.83368421052632,3.20367847411444,3.23481228668942,2.5594262295082,1.53689911983751,4.64290805416964,3.00486111111111,2.28201634877384,6.2239010989011,2.47095435684647,1.62932790224033,2.19585418155826,1.94014598540146,2.84179543782193,1.92893401015228,0.489985693848355,2.27892561983471,1.37517531556802,1.28992460589445,2.96761133603239,1.79515570934256,2.69590643274854,2.31280276816609,2.39226519337017,5.37121212121212,5.06927297668038,5.27145847871598,7.02040816326531,3.75231316725979,4.21834360027379,1.35891812865497
"BRA7",1.16969353007946,1.79476975554292,1.82762557077626,2.69421965317919,1.43970420932878,1.73561253561254,2.47406955460647,2.99091459721381,3.16907097518754,3.54791299235744,2.99590163934426,1.5747392815759,4.9468791500664,3.21170610211706,2.50626118067979,6.22156045265039,3.1969040247678,2.05419892793329,2.22354497354497,1.96239086635326,2.69383561643836,1.79131007241606,0.484197218710493,2.06041055718475,1.40023894862605,1.32485207100592,2.89792387543253,1.72634116937914,2.56791720569211,2.18489425981873,2.22121760096444,5.40819964349376,5.08377581120944,4.92457420924574,7.45174418604651,3.76516052318668,4.63556338028169,1.38409703504043
"CAN1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34649476228848,2.24698310539019,1.6580852775543,3.12953795379538,2.9739837398374,3.76523151909017,4.9099025974026,4.23789991796555,2.1483606557377,NA,NA,NA,NA,0.638565022421525,2.33812949640288,1.54779116465863,1.31777956556718,NA,1.48732624693377,2.25395503746878,2.27914614121511,2.73,5.85373781148429,NA,NA,NA,NA,NA,NA
"CAN2",1.09849362688297,1.55613425925926,1.70150987224158,2.50754060324826,1.5780615206036,2.22331786542923,2.13531967721912,NA,NA,2.1260945709282,2.40011682242991,1.6156103286385,4.07245508982036,3.40828402366864,4.94832648267763,5.58716136631331,4.98930481283422,2.85518474374255,NA,NA,NA,NA,0.679916317991632,1.85075493612079,1.57980266976204,1.57275902211874,2.3633197910621,1.30701754385965,2.10494931425164,2.14175104228708,2.57741347905282,5.64231564438318,6.7831184056272,3.38557066824364,3.93969555035129,3.11500291885581,3.79215456674473,NA
"CAN4",1.07209543568465,1.41856846473029,1.75168831168831,2.68590743629745,1.6314419573139,2.12422037422037,1.876956287102,3.06977992485239,3.37851929092805,2.22964509394572,2.01612064482579,1.55070202808112,5.48417030567686,3.31784582893347,4.48859416445623,6.04354669464848,5.62863180137348,2.7776008492569,3.16875340228634,2.6602634467618,3.6733153638814,1.64092446448703,0.659025787965616,2.08303061754022,1.54153686396677,1.3920041536864,2.65715767634855,1.33455305802405,2.19797764768494,2.20402755696873,2.58231220031966,5.49069069069069,5.33594566353187,3.89064976228209,4.86311389759666,3.65969681129117,NA,1.44010840108401
"CAN5",1.06589327146172,1.38333333333333,1.69095127610209,2.56328233657858,1.71821145784816,2.17961842717543,1.91826923076923,3.08353452438436,3.36321411983279,2.2232601588043,1.8134328358209,1.54553946753853,5.74974924774323,3.24312590448625,4.61419604056012,6.10223490252021,5.30199707744764,2.75503190967108,3.23844282238443,2.79833169774289,3.63965267727931,1.56299603174603,0.592708333333333,1.96092619392185,1.44925444925445,1.35280151946819,2.57792207792208,1.35505193578848,2.20396326727888,2.09578544061303,NA,5.42610837438424,5.64424443391757,4.35054080629302,5.04957507082153,3.83776091081594,4.01456766917293,1.35700197238659
"CAN7",1.24664011946242,1.6112493777999,1.53608760577402,2.38725734196117,1.99427575908412,2.87506222000996,2.16998506719761,3.26729716276755,3.51592832254853,3.33150821304131,2.58437033349925,2.24191139870582,7.74912891986063,4.97685415629666,6.73992035838726,7.2643106022897,6.23195619711299,4.17023394723743,3.25808860129418,2.48730711796914,3.46864111498258,1.54728720756595,0.42284718765555,1.758337481334,1.55475360876058,1.70980587356894,2.27003484320558,1.33922349427576,1.97237431557989,2.00273768043803,2.11747137879542,5.24987555998009,5.53733200597312,4.91338974614236,5.47212543554007,4.17720258835241,4.90940766550523,1.387506222001
"CHE2",1.16388687454677,1.58496023138106,1.67859751643535,2.73226042428676,1.5965697240865,2.39056742815033,NA,NA,NA,1.69912790697674,2.37214443625645,1.59322033898305,4.16731517509728,3.67816091954023,3.2526395173454,4.76311844077961,5.14674735249622,2.97538461538462,NA,NA,NA,NA,0.771548117154812,1.94596651445967,1.6376,1.81068342498036,2.16131386861314,1.56282145481264,NA,2.46396396396396,2.73163418290855,5.68532110091743,NA,NA,NA,NA,NA,NA
"CHE3",1.20843672456576,1.49211618257261,1.74040066777963,2.79396984924623,1.63140218303946,2.62774957698816,NA,NA,NA,2.28260869565217,2.64621848739496,1.58803706823926,6.11603188662533,5.05933682373473,5.1,6.34302822925577,6.30565371024735,3.73717371737174,3.02044790652386,2.58076923076923,3.60195903829029,1.58652094717668,0.702702702702703,1.95768566493955,1.83143107989464,1.93374019180471,2.69511184755592,1.46819338422392,2.41622574955908,2.27864583333333,2.78331822302811,5.33956386292835,4.8411214953271,3.38503155996393,3.47586790855207,3.26626712328767,4.49565217391304,1.73761467889908
"CHE5",1.15967741935484,1.48025785656728,1.73241713823767,2.4176804541768,1.54204081632653,2.59466019417476,2.18357082984074,3.20066061106524,3.44081632653061,1.80548829701372,2.08164915117219,1.51941747572816,7.15703192407248,4.8824027072758,5.55508830950378,6.88778054862843,6.64962279966471,4.43053173241853,3.31738035264484,2.66949152542373,3.78981937602627,1.43374485596708,0.650650650650651,NA,NA,NA,2.21261115602264,1.27516233766234,2.19455894476505,2.04571428571429,NA,5.16111611161116,3.63303498779496,4.72013949433304,5.03005686433794,3.79327317473339,5.52768729641694,1.30527210884354
"CHL2",1.15874079035499,2.37541974479516,2.05337837837838,2.91286589516678,1.2872411489646,1.75957018132975,1.99724517906336,NA,NA,3.14343163538874,1.86135298057602,1.45331529093369,1.83073798239675,1.79879275653924,1.82238605898123,3.50638870208473,2.67534246575342,1.69422043010753,NA,NA,NA,NA,0.828696925329429,2.57771847898599,1.40627084723149,1.256,2.95917001338688,2.20663441603317,2.80591878871301,2.16100543478261,2.67282683093771,5.06901840490798,6.00067385444744,5.89642857142857,6.5719131614654,4.06109979633401,4.61062542030935,NA
"CHL3",1.11616161616162,2.12828282828283,1.72142857142857,3.17177914110429,1.4038854805726,1.86925434116445,2.14943705220061,2.59551760939168,3.06020408163265,2.62626262626263,2.16649642492339,1.66734279918864,3.31930184804928,2.80687563195147,2.21313131313131,4.39051463168517,3.15313463514902,1.99492385786802,2.79611650485437,2.59869848156182,2.96209587513935,1.85668449197861,0.739872068230277,2.29,1.597,1.513,3.23785425101215,2.27367325702393,2.8298969072165,2.4174358974359,2.71428571428571,5.34313725490196,5.20541082164329,5.90406673618352,6.41146881287726,4.63911290322581,4.93881644934804,1.54329896907217
